실시간재고현황(재고세부내역) - 조직/기준일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조직:D13827C000 일자:20260612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,레벨0조직명,레벨1조직명,레벨2조직명,레벨3조직명,영업담당,거래처구분,채널코드,제조사,보유처매장코드,보유처코드,보유처,재고이동입고일자,대표상품명,모델명,모델코드,색상코드,색상,일련번호,비고,상품구분,불량여부,실구매가,현재고금액,확정여신가,확정현금가,매입처,입고일자,입고처매장코드,입고처코드,입고처,구매유형,재고기간,재고이동출고일자,보유기간,시연재고여부,개봉구분,재고상태,Network세대,재고구분,최초입고대리점,배송구분,박스번호,개별번호,최초입고레벨0조직명,최초입고레벨1조직명,최초입고레벨2조직명,최초입고레벨3조직명,유통단말구분
1,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-04-29,SM-A175N,SM-A175N,A6QU,20,검정,5807394,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-04-23,D138270109,130620,지은대리점 안양도매사무실,신품향,51,2026-04-29,45,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
2,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-04-29,SM-A175N,SM-A175N,A6QU,20,검정,5809691,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-04-23,D138270109,130620,지은대리점 안양도매사무실,신품향,51,2026-04-29,45,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
3,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-04-29,SM-A175N,SM-A175N,A6QU,20,검정,5810392,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-04-23,D138270109,130620,지은대리점 안양도매사무실,신품향,51,2026-04-29,45,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
4,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-06-05,SM-A175N,SM-A175NA,A6SC,22,회색,5994250,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-06-05,D138270109,130620,지은대리점 안양도매사무실,신품향,8,2026-06-05,8,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
5,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-06-05,SM-A175N,SM-A175NA,A6SC,22,회색,5995825,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-06-05,D138270109,130620,지은대리점 안양도매사무실,신품향,8,2026-06-05,8,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
6,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-06-05,SM-A175N,SM-A175NA,A6SC,22,회색,6009552,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-06-05,D138270109,130620,지은대리점 안양도매사무실,신품향,8,2026-06-05,8,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
7,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-06-08,SM-A175N,SM-A175NB,A6SE,49,라이트블루,5961811,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-06-06,D138270109,130620,지은대리점 안양도매사무실,신품향,7,2026-06-08,5,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
8,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-06-08,SM-A175N,SM-A175NB,A6SE,49,라이트블루,5976653,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-06-06,D138270109,130620,지은대리점 안양도매사무실,신품향,7,2026-06-08,5,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
9,지은대리점,소매,,,곽지영,기타거래처(1),,삼성전자(주),D13827,134713,소매 배정대기,2026-06-08,SM-A175N,SM-A175NB,A6SE,49,라이트블루,5976921,,단말기,정상,315700,315700,319000,315700,SKNetworks,2026-06-06,D138270109,130620,지은대리점 안양도매사무실,신품향,7,2026-06-08,5,,미개봉,가용(이동입고),4G(LTE),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
10,지은대리점,소매,,,곽지영,기타거래처(1),,Apple,D13827,134713,소매 배정대기,2026-06-11,IP17P_256GG,IP17P_256GG,A6T1,22,회색,C234RCMXM2,,단말기,정상,1782000,1782000,1782000,1782000,SKNetworks,2026-06-11,D138270109,130620,지은대리점 안양도매사무실,신품향,2,2026-06-11,2,,미개봉,가용(이동입고),5G(NSA),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
11,지은대리점,소매,,,곽지영,기타거래처(1),,Apple,D13827,134713,소매 배정대기,2026-06-11,IP17P_256GG,IP17P_256GG,A6T1,22,회색,H79VW0CW5G,,단말기,정상,1782000,1782000,1782000,1782000,SKNetworks,2026-06-11,D138270109,130620,지은대리점 안양도매사무실,신품향,2,2026-06-11,2,,미개봉,가용(이동입고),5G(NSA),,지은대리점,재고보유,,,지은대리점,,,,OEM(SKN)
